code,companyName,listedDate,type,floor,shortName,companyNameEng,isin,status,indexCode
AVC,Công ty cổ phần Thủy điện A Vương,2018-01-08,STOCK,UPCOM,Th.điện A Vương,A Vương Hydropower Joint Stock Company,VN000000AVC6,listed,
PVP,Công ty cổ phần Vận tải Dầu khí Thái Bình Dương,2016-12-20,STOCK,UPCOM,V.tải D.khí TBD,Pacific Petroleum Transportation Joint Stock Company,VN000000PVP6,listed,
PVM,Công ty cổ phần Máy - Thiết bị Dầu khí,2016-12-20,STOCK,UPCOM,Thiết bị Dầu khí,Petrovietnam Machinery–Technology Joint Stock Company,VN000000PVM3,listed,
NCT,Công ty Cổ phần dịch vụ hàng hóa Nội Bài ,2015-01-08,STOCK,HOSE,Hàng hóa Nội Bài,Noibai Cargo Terminal services JSC,VN000000NCT3,listed,
G20,Công ty Cổ phần Đầu tư Dệt may Vĩnh Phúc,2017-07-28,STOCK,UPCOM,May Vĩnh Phúc,Vinh Phuc Textile Investment Joint Stock Company,VN000000G201,listed,
NNG,Công ty Cổ phần công nghiệp- dịch vụ- thương mại Ngọc Nghĩa,2015-03-31,STOCK,UPCOM,T.mại Ngọc Nghĩa,Ngoc Nghia Industry - Service - Trading Joint Stock Company,VN000000NNG7,listed,
HKB,Công ty Cổ phần nông nghiệp và thực phẩm Hà Nội - Kinh Bắc ,2015-04-08,STOCK,HNX,Th.phẩm Kinh Bắc,Hanoi - Kinhbac Agriculture And Food Joint Stock Company,VN000000HKB6,listed,
DDV,Công ty Cổ phần DAP - VINACHEM,2015-06-10,STOCK,UPCOM,DAP - VINACHEM,DAP - VINACHEM Joint Stock Company,VN000000DDV8,listed,
BCP,Công ty cổ phần dược ENLIE,2015-09-14,STOCK,UPCOM,Dược Becamex,ENLIE PHARMACEUTICAL JOINT STOCK COMPANY,VN000000BCP6,listed,
BRS,Công ty Cổ phần Dịch vụ Đô thị Bà Rịa,2017-01-24,STOCK,UPCOM,DV Đô thị Bà Rịa,Ba Ria Urban Service Joint Stock Company,VN000000BRS8,listed,
CKH,Công ty Cổ Phần Cơ Khí Chế tạo Hải Phòng,2017-01-12,STOCK,UPCOM,Cơ khí Hải Phòng,Haiphong Machinery Manufacturing Joint Stock Company,VN000000CKH4,listed,
PHP,Công ty Cổ phần Cảng Hải Phòng,2015-08-12,STOCK,HNX,Cảng Hải Phòng,Port of Hai Phong Joint Stock Company,VN000000PHP5,listed,
CCR,Công ty Cổ phần Cảng Cam Ranh ,2015-09-24,STOCK,UPCOM,Cảng Cam Ranh,CAM RANH PORT JOINT STOCK COMPANY,VN000000CCR0,listed,
TRS,Công ty Cổ phần Vận tải và Dịch vụ Hàng hải,2015-09-18,STOCK,UPCOM,V.tải Hàng hải,TRACIMEXCO - SUPPLY  CHAINS  AND  AGENCY  SERVICES J.S COMPANY,VN000000TRS0,listed,
MSR,CÔNG TY CỔ PHẦN MASAN HIGH-TECH MATERIALS,2015-09-17,STOCK,UPCOM,MASAN HIGH-TECH MATERIALS,MASAN HIGH-TECH MATERIALS CORPORATION,VN000000MSR5,listed,
PMB,Công ty Cổ phần Phân bón và Hóa chất Dầu khí miền Bắc ,2015-10-07,STOCK,HNX,H.chất DK M.Bắc,North PetroVietnam Fertilizer & Chemicals Joint Stock Company,VN000000PMB5,listed,
LQN,Công ty cổ phần LICOGI Quảng Ngãi,2016-11-01,STOCK,UPCOM,LICOGI Quảng Ngãi,LICOGI QUANG NGAI JOINT STOCK COMPANY,VN000000LQN0,listed,
QTP,Công ty Cổ phần Nhiệt điện Quảng Ninh,2017-03-16,STOCK,UPCOM,Nh.điện Q.Ninh,Quang Ninh Thermal Power Joint Stock Company,VN000000QTP8,listed,
DBH,Công ty cổ phần Đường bộ Hải Phòng,2016-06-08,STOCK,UPCOM,Đường bộ Hải Phòng,HAIPHONG OVERLAND ROAD JOINT STOCK COMPANY,VN000000DBH1,listed,
DFC,Công ty Cổ phần Xích Líp Đông Anh,2017-01-12,STOCK,UPCOM,Xích Líp Đông Anh,Dong Anh C&F Joint Stock Company,VN000000DFC3,listed,
